tenure_days,team_size,monthly_spend_usd,logins_per_month,features_used,support_tickets_last_90d,days_since_last_login,nps_score,churned,nps_missing,tenure_months,is_annual_contract,engagement_score,spend_per_feature,tickets_per_month,login_bucket,recency_ratio,plan_rank,acquisition_channel_email,acquisition_channel_organic,acquisition_channel_paid search,acquisition_channel_referral,acquisition_channel_social,industry_education,industry_finance,industry_healthcare,industry_other,industry_retail,industry_saas,industry_unknown,support_tier_dedicated,support_tier_email,support_tier_priority,nps_bucket_detractor,nps_bucket_passive,nps_bucket_promoter
862,2.0,35.75,10,4,1,9,4.0,0,0,28.7,0,30.67,7.15,0.333,2,0.0104,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
358,10.0,90.13,9,14,0,23,7.0,0,0,11.9,1,50.0,6.01,0.0,2,0.0641,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
1127,2.0,104.38,8,14,0,20,7.0,0,0,37.6,0,48.33,6.96,0.0,1,0.0177,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
1349,5.0,0.0,5,8,1,10,3.0,0,0,45.0,1,26.33,0.0,0.333,1,0.0074,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0
1038,5.0,76.6,3,10,0,18,10.0,0,0,34.6,1,40.0,6.96,0.0,1,0.0173,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1
1226,5.0,0.0,13,9,1,1,5.0,0,0,40.9,0,45.17,0.0,0.333,2,0.0008,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0
104,10.0,0.0,5,14,1,12,6.0,0,0,3.5,1,41.33,0.0,0.333,1,0.1143,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0
282,10.0,31.65,2,8,0,36,7.0,0,0,9.4,1,29.33,3.52,0.0,0,0.1272,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
537,5.0,18.11,4,11,2,2,8.0,0,0,17.9,0,39.17,1.51,0.667,1,0.0037,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
189,500.0,26.35,8,10,0,16,7.0,0,0,6.3,1,42.33,2.4,0.0,1,0.0842,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0
288,100.0,0.0,5,18,2,4,6.0,0,0,9.6,1,47.33,0.0,0.667,1,0.0138,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1189,100.0,90.52,12,4,0,20,7.0,0,0,39.6,0,40.0,18.1,0.0,2,0.0168,2,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
158,50.0,15.88,6,4,3,14,8.0,1,0,5.3,0,32.0,3.18,1.0,1,0.0881,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
674,2.0,0.0,10,12,1,31,7.0,0,0,22.5,1,48.67,0.0,0.333,2,0.0459,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
283,2.0,108.18,9,18,3,14,6.0,0,0,9.4,1,54.0,5.69,1.0,2,0.0493,2,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0
153,2.0,360.94,9,8,0,6,9.0,0,0,5.1,0,45.0,40.1,0.0,2,0.039,3,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
997,500.0,78.28,3,3,0,0,8.0,0,0,33.2,1,25.5,19.57,0.0,1,0.0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1301,1.0,72.03,7,18,2,18,4.0,0,0,43.4,0,46.67,3.79,0.667,1,0.0138,2,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
1129,5.0,65.65,5,7,1,6,5.0,0,0,37.6,1,28.83,8.21,0.333,1,0.0053,2,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0
838,1.0,33.74,7,1,2,13,9.0,0,0,27.9,1,31.17,16.87,0.667,1,0.0155,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1
267,2.0,0.0,9,13,0,1,7.0,0,0,8.9,1,48.5,0.0,0.0,2,0.0037,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
205,2.0,28.29,5,3,2,26,8.0,0,0,6.8,1,28.83,7.07,0.667,1,0.1262,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
1451,10.0,26.62,21,3,2,6,7.0,0,0,48.4,1,53.5,6.66,0.667,3,0.0041,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
716,1.0,24.87,5,15,0,30,7.0,0,0,23.9,0,44.83,1.55,0.0,1,0.0418,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0
852,5.0,93.98,3,19,3,14,5.0,0,0,28.4,1,43.5,4.7,1.0,1,0.0164,2,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0
1137,25.0,22.25,3,4,2,1,10.0,0,0,37.9,0,31.0,4.45,0.667,1,0.0009,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
1286,5.0,0.0,2,13,1,10,7.0,1,0,42.9,1,36.83,0.0,0.333,0,0.0078,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
969,1.0,0.0,12,13,0,28,10.0,0,0,32.3,1,59.5,0.0,0.0,2,0.0289,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
85,5.0,89.14,6,15,2,19,4.0,0,0,2.8,1,40.5,5.57,0.667,1,0.2209,2,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
990,25.0,0.0,8,19,1,6,9.0,0,0,33.0,1,59.83,0.0,0.333,1,0.0061,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1
704,1.0,89.2,16,16,2,37,7.0,0,0,23.5,1,64.67,5.25,0.667,2,0.0525,2,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0
435,25.0,26.39,15,7,2,3,8.0,0,0,14.5,1,51.5,3.3,0.667,2,0.0069,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
931,25.0,44.38,7,3,2,5,4.0,0,0,31.0,0,24.17,11.1,0.667,1,0.0054,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0
43,5.0,35.8,13,2,2,16,8.0,0,0,1.4,0,40.67,11.93,0.667,2,0.3636,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
56,1.0,104.41,6,18,1,3,10.0,0,0,1.9,1,57.0,5.5,0.333,1,0.0526,2,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
1094,10.0,30.16,21,11,0,8,5.0,0,0,36.5,1,61.5,2.51,0.0,3,0.0073,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
736,25.0,118.07,8,1,1,15,5.0,0,0,24.5,1,24.83,59.04,0.333,1,0.0204,2,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,0,0
1022,5.0,23.93,0,16,1,12,2.0,0,0,34.1,1,28.0,1.41,0.333,0,0.0117,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0
1046,10.0,22.3,6,17,1,2,7.0,0,0,34.9,1,49.5,1.24,0.333,1,0.0019,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0
1408,5.0,104.71,2,16,2,11,7.0,0,0,46.9,1,41.33,6.16,0.667,0,0.0078,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0
572,10.0,86.74,8,10,0,10,9.0,0,0,19.1,1,46.33,7.89,0.0,1,0.0175,2,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1
728,5.0,103.82,1,17,1,9,5.0,0,0,24.3,0,37.17,5.77,0.333,0,0.0123,2,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0
1386,2.0,62.94,9,3,1,20,8.0,0,0,46.2,1,35.5,15.74,0.333,2,0.0144,2,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0
1055,50.0,119.89,13,18,1,2,7.0,0,0,35.2,1,62.67,6.31,0.333,2,0.0019,2,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
